246: g0-s0, g1-s0, y0-s2, y1-s2, b0-s2, b1-s2, 
247: g0-s0, g1-s0, y0-s2->s1, y1-s2, b0-s2, b1-s2, 
248: g0-s0, g1-s0, y0-s2->s1, y1-s2, b0-s2, b1-s2, 
249: g0-s0, g1-s0, y0-s2->s1, y1-s2, b0-s2, b1-s2, 
250: g0-s0, g1-s0, y0-s2->s1, y1-s2, b0-s2, b1-s2, 
251: g0-s0, g1-s0, y0-s1, y1-s2, b0-s2, b1-s2, 
252: g0-s0->s1, g1-s0, y0-s1, y1-s2, b0-s2, b1-s2, 
253: g0-s1, g1-s0, y0-s1->s3, y1-s2, b0-s2, b1-s2->s0, 
254: g0-s1, g1-s0, y0-s3, y1-s2, b0-s2, b1-s2->s0, 
255: g0-s1, g1-s0, y0-s3, y1-s2, b0-s2, b1-s0, 
256: g0-s1, g1-s0, y0-s3->s1, y1-s2, b0-s2, b1-s0, 
257: g0-s1->s0, g1-s0, y0-s1, y1-s2, b0-s2, b1-s0, 
258: g0-s0, g1-s0, y0-s1->s2, y1-s2, b0-s2, b1-s0, 
259: g0-s0, g1-s0, y0-s1->s2, y1-s2, b0-s2, b1-s0, 
260: g0-s0, g1-s0->s3, y0-s1->s2, y1-s2, b0-s2, b1-s0, 
261: g0-s0, g1-s0->s3, y0-s1->s2, y1-s2, b0-s2, b1-s0, 
262: g0-s0, g1-s0->s3, y0-s2, y1-s2, b0-s2, b1-s0, 
263: g0-s0, g1-s3, y0-s2, y1-s2, b0-s2->s3, b1-s0, 
264: g0-s0, g1-s3, y0-s2, y1-s2, b0-s2->s3, b1-s0, 
265: g0-s0, g1-s3, y0-s2, y1-s2, b0-s3, b1-s0, 
266: g0-s0, g1-s3, y0-s2, y1-s2, b0-s3, b1-s0, 
267: g0-s0, g1-s3, y0-s2, y1-s2->s1, b0-s3, b1-s0, 
268: g0-s0, g1-s3, y0-s2, y1-s2->s1, b0-s3, b1-s0, 
269: g0-s0, g1-s3, y0-s2, y1-s2->s1, b0-s3, b1-s0, 
270: g0-s0, g1-s3, y0-s2, y1-s2->s1, b0-s3, b1-s0, 
271: g0-s0, g1-s3, y0-s2, y1-s1, b0-s3, b1-s0, 
272: g0-s0, g1-s3->s0, y0-s2, y1-s1->s3, b0-s3, b1-s0, 
273: g0-s0, g1-s3->s0, y0-s2->s1, y1-s3, b0-s3, b1-s0, 
274: g0-s0->s3, g1-s3->s0, y0-s2->s1, y1-s3, b0-s3->s2, b1-s0, 
275: g0-s0->s3, g1-s0, y0-s2->s1, y1-s3, b0-s3->s2, b1-s0, 
276: g0-s0->s3, g1-s0, y0-s2->s1, y1-s3, b0-s2, b1-s0, 
277: g0-s3, g1-s0, y0-s1, y1-s3, b0-s2, b1-s0, 
278: g0-s3, g1-s0, y0-s1, y1-s3, b0-s2, b1-s0, 
279: g0-s3, g1-s0, y0-s1->s3, y1-s3->s1, b0-s2, b1-s0, 
280: g0-s3, g1-s0, y0-s3, y1-s1, b0-s2, b1-s0, 
281: g0-s3, g1-s0, y0-s3, y1-s1->s2, b0-s2->s0, b1-s0, 
282: g0-s3, g1-s0, y0-s3, y1-s1->s2, b0-s2->s0, b1-s0, 
283: g0-s3, g1-s0, y0-s3, y1-s1->s2, b0-s0, b1-s0->s2, 
284: g0-s3, g1-s0, y0-s3, y1-s1->s2, b0-s0, b1-s0->s2, 
285: g0-s3, g1-s0, y0-s3, y1-s2, b0-s0, b1-s2, 
286: g0-s3, g1-s0, y0-s3, y1-s2, b0-s0, b1-s2, 
287: g0-s3, g1-s0, y0-s3, y1-s2, b0-s0, b1-s2, 
288: g0-s3, g1-s0, y0-s3, y1-s2, b0-s0, b1-s2, 
289: g0-s3->s0, g1-s0, y0-s3, y1-s2, b0-s0, b1-s2, 
290: g0-s3->s0, g1-s0, y0-s3, y1-s2, b0-s0, b1-s2, 
291: g0-s3->s0, g1-s0->s1, y0-s3->s1, y1-s2, b0-s0, b1-s2, 
292: g0-s0, g1-s1, y0-s1, y1-s2, b0-s0, b1-s2, 
293: g0-s0, g1-s1, y0-s1, y1-s2, b0-s0, b1-s2, 
294: g0-s0, g1-s1, y0-s1->s2, y1-s2, b0-s0, b1-s2, 
295: g0-s0, g1-s1, y0-s1->s2, y1-s2, b0-s0, b1-s2, 
296: g0-s0, g1-s1->s0, y0-s1->s2, y1-s2, b0-s0, b1-s2->s3, 
297: g0-s0, g1-s0, y0-s1->s2, y1-s2->s1, b0-s0, b1-s2->s3, 
298: g0-s0, g1-s0, y0-s2, y1-s2->s1, b0-s0, b1-s3, 
299: g0-s0, g1-s0, y0-s2, y1-s2->s1, b0-s0, b1-s3, 
300: g0-s0, g1-s0, y0-s2, y1-s2->s1, b0-s0, b1-s3, 
301: g0-s0->s1, g1-s0, y0-s2, y1-s1, b0-s0, b1-s3, 
302: g0-s1, g1-s0, y0-s2, y1-s1, b0-s0, b1-s3, 
303: g0-s1, g1-s0->s3, y0-s2->s1, y1-s1, b0-s0, b1-s3->s2, 
304: g0-s1, g1-s0->s3, y0-s2->s1, y1-s1->s3, b0-s0->s2, b1-s3->s2, 
305: g0-s1, g1-s0->s3, y0-s2->s1, y1-s3, b0-s0->s2, b1-s2, 
306: g0-s1, g1-s3, y0-s2->s1, y1-s3, b0-s2, b1-s2, 
307: g0-s1, g1-s3, y0-s1, y1-s3, b0-s2, b1-s2, 
308: g0-s1, g1-s3, y0-s1, y1-s3, b0-s2, b1-s2, 
309: g0-s1->s0, g1-s3, y0-s1, y1-s3, b0-s2, b1-s2, 
